vendor_name	invoice_pattern	charge_type	sample_count	priority
ANYTIME WASTE SYSTEMS	HAUL FEES TRASH	Empty & Return	144	1
ANYTIME WASTE SYSTEMS	SWITCH OUT YD ROLL OFF	Empty & Return	9	1
ANYTIME WASTE SYSTEMS	G TOTER-RECYCLE	Monthly Service Commercial	8	1
ANYTIME WASTE SYSTEMS	FUEL SURCHARGES:	Monthly Service Commercial	5	1
ANYTIME WASTE SYSTEMS	DELIVERY YD ROLL OFF	Delivery Industrial	4	1
ANYTIME WASTE SYSTEMS	YD RECEIVER BOX RENT	Receiver Container Rental	2	1
ANYTIME WASTE SYSTEMS	FUEL SURCHARGE	Fuel Surcharge Industrial	2	1
ANYTIME WASTE SYSTEMS	YD OT MONTHLY RENT	Monthly Rental Industrial	1	1
ANYTIME WASTE SYSTEMS	COMPACTOR HAUL	Empty & Return	1	1
ANYTIME WASTE SYSTEMS	CONTAINER DELIVERED	Monthly Service Commercial	1	1
Boren Brothers LLC	FL-COMM-RECYCLING-YD	Delivery Industrial	9	1
Boren Brothers LLC	FL-COMM-TRASH-YD	Delivery Industrial	6	1
Boren Brothers LLC	RO SERVICE FEE - TRIP CHARGE	Delivery	6	1
Boren Brothers LLC	GALLON TOTER - MUNICAPL SOLID WASTE	Monthly Service Commercial	3	1
Boren Brothers LLC	RO-SERVICE FEE - TRIP CHARGE	Delivery	3	1
Boren Brothers LLC	SALES TAX	Tax Industrial	3	1
Boren Brothers LLC	FUEL SURCHARGE - FRONT LOAD	Fuel Surcharge Commercial	2	1
Boren Brothers LLC	FUEL SURCHARGE - ROLL OFF	Fuel Surcharge Industrial	2	1
Boren Brothers LLC	EXTRA YD FRONT LOAD TRASH - WO:	Removal Commercial	1	1
CASELLA WASTE SYSTEMS	YD OT D & R C&D	Monthly Rental Industrial	8	1
CASELLA WASTE SYSTEMS	WASTEOLOGY ADV NO	FUEL SURCHARGE	6	1
CASELLA WASTE SYSTEMS	OC	FUEL SURCHARGE	5	1
CASELLA WASTE SYSTEMS	OC	FUEL SURCHARGE	5	1
CASELLA WASTE SYSTEMS	METAL TONNAGE	FUEL SURCHARGE	5	1
CASELLA WASTE SYSTEMS	OC	FUEL SURCHARGE	5	1
CASELLA WASTE SYSTEMS	C	FUEL SURCHARGE	4	1
CASELLA WASTE SYSTEMS	CREDIT PRORATION	Fuel Surcharge Industrial	4	1
CASELLA WASTE SYSTEMS	DISPOSAL TEMP METAL	Fuel Surcharge Industrial	4	1
CASELLA WASTE SYSTEMS	EMPTY ON REMOVAL	Fuel Surcharge Industrial	4	1
CASELLA WASTE SYSTEMS	OC	FUEL SURCHARGE	4	1
CASELLA WASTE SYSTEMS	OC	FUEL SURCHARGE	4	1
CASELLA WASTE SYSTEMS	OC	FUEL SURCHARGE	4	1
CASELLA WASTE SYSTEMS	RECYCLE PROCESSING ADJ	Local Surcharges/Fees Commercial	4	1
CASELLA WASTE SYSTEMS	TOTAL SALES TAX:	Tax Industrial	4	1
CASELLA WASTE SYSTEMS	OC	FUEL SURCHARGE	3	1
CASELLA WASTE SYSTEMS	OC	FUEL SURCHARGE	3	1
CASELLA WASTE SYSTEMS	OC	FUEL SURCHARGE	3	1
CASELLA WASTE SYSTEMS	OC	Monthly Service Commercial	3	1
CASELLA WASTE SYSTEMS	YD FL WEEKLY TRASH	Monthly Service Commercial	3	1
CASELLA WASTE SYSTEMS	YD FL WEEKLY TRASH # P/U:	Monthly Service Commercial	3	1
CASELLA WASTE SYSTEMS	CANCEL W/ CHARGE	FUEL SURCHARGE	3	1
CASELLA WASTE SYSTEMS	OC	FUEL SURCHARGE	3	1
CASELLA WASTE SYSTEMS	OC	Environmental Surcharge Commercial	3	1
CASELLA WASTE SYSTEMS	OC	Monthly Service Commercial	3	1
CASELLA WASTE SYSTEMS	OC	Monthly Service Commercial	3	1
CASELLA WASTE SYSTEMS	OC	Monthly Service Commercial	3	1
CASELLA WASTE SYSTEMS	OC	Monthly Service Commercial	3	1
CASELLA WASTE SYSTEMS	OC	Monthly Service Commercial	3	1
CASELLA WASTE SYSTEMS	PO# OC	FUEL SURCHARGE	3	1
CASELLA WASTE SYSTEMS	RESOURCE SOLUTIONS ENERGY&ENVIRONMENTAL	Environmental Surcharge Industrial	3	1
CASELLA WASTE SYSTEMS	YD OT D & R - C&D	Monthly Rental Industrial	2	1
CASELLA WASTE SYSTEMS	YD FL EXTRA P/U - TRASH	Local Surcharges/Fees Commercial	2	1
CASELLA WASTE SYSTEMS	YD FL WEEKLY OCC\N# P/U:	Monthly Service Commercial	2	1
CASELLA WASTE SYSTEMS	GL CART X MTH ZSORT	Disposal Charge	2	1
CASELLA WASTE SYSTEMS	OC	Environmental Surcharge Commercial	2	1
CASELLA WASTE SYSTEMS	OC	Environmental Surcharge Commercial	2	1
CASELLA WASTE SYSTEMS	OC	FUEL SURCHARGE	2	1
CASELLA WASTE SYSTEMS	OC	FUEL SURCHARGE	2	1
CASELLA WASTE SYSTEMS	OC	Vendor Cost Increase - Industrial	2	1
CASELLA WASTE SYSTEMS	OC	Fuel Surcharge Industrial	2	1
